dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000373,18.010000,0.000198,0.019811,0.990560,49.528001,6.282816
0.020000,5.000308,18.010000,0.000263,0.003261,-0.827529,-90.904471,6.282881
0.020000,5.000161,18.010000,0.000410,0.007330,0.203490,51.550955,6.283026
0.020000,5.000929,18.010000,0.001178,0.038393,1.553114,67.481216,0.000082
0.020000,5.004748,18.010001,0.004997,0.190978,7.629247,303.806664,0.000420
0.020000,5.009661,18.010004,0.009910,0.245609,2.731560,-244.884376,0.000852
0.020000,5.015666,18.010011,0.015915,0.300290,2.734042,0.124098,0.001379
0.020000,5.022767,18.010023,0.023016,0.355031,2.737076,0.151730,0.001998
0.020000,5.030964,18.010042,0.031213,0.409844,2.740663,0.179358,0.002709
0.020000,5.040259,18.010071,0.040508,0.464741,2.744803,0.206967,0.003510
0.020000,5.050653,18.010112,0.050902,0.519730,2.749498,0.234777,0.004399
0.020000,5.062149,18.010168,0.062399,0.574825,2.754748,0.262469,0.005374
0.020000,5.074750,18.010243,0.074999,0.630036,2.760552,0.290202,0.006432
0.020000,5.088457,18.010339,0.088707,0.685375,2.766909,0.317859,0.007572
0.020000,5.103274,18.010460,0.103524,0.740851,2.773827,0.345908,0.008790
0.020000,5.119203,18.010610,0.119454,0.796477,2.781298,0.373524,0.010083
0.020000,5.136247,18.010794,0.136499,0.852264,2.789327,0.401481,0.011448
0.020000,5.154410,18.011015,0.154663,0.908222,2.797908,0.429054,0.012883
0.020000,5.173695,18.011278,0.173951,0.964363,2.807054,0.457302,0.014382
0.020000,5.194107,18.011587,0.194364,1.020698,2.816746,0.484564,0.015943
0.020000,5.215649,18.011948,0.215909,1.077238,2.827004,0.512922,0.017561
0.020000,5.238325,18.012366,0.238589,1.133994,2.837807,0.540145,0.019233
0.020000,5.262139,18.012844,0.262409,1.190978,2.849176,0.568454,0.020952
0.020000,5.287098,18.013389,0.287373,1.248199,2.861076,0.594985,0.022716
0.020000,5.313204,18.014006,0.313486,1.305670,2.873555,0.623968,0.024518
0.020000,5.340463,18.014700,0.340754,1.363402,2.886565,0.650476,0.026354
0.020000,5.368880,18.015475,0.369182,1.421404,2.900138,0.678650,0.028219
0.020000,5.398462,18.016338,0.398776,1.479689,2.914219,0.704074,0.030106
0.020000,5.429212,18.017294,0.429541,1.538267,2.928897,0.733903,0.032010
0.020000,5.461138,18.018347,0.461484,1.597148,2.944084,0.759337,0.033925
0.020000,5.494244,18.019503,0.494611,1.656345,2.959821,0.786861,0.035845
0.020000,5.528538,18.020765,0.528928,1.715866,2.976066,0.812233,0.037763
0.020000,5.564026,18.022140,0.564443,1.775724,2.992888,0.841136,0.039672
0.020000,5.600715,18.023632,0.601161,1.835928,3.010220,0.866574,0.041566
0.020000,5.638610,18.025244,0.639091,1.896490,3.028074,0.892693,0.043438
0.020000,5.677720,18.026980,0.678240,1.957419,3.046462,0.919411,0.045281
0.020000,5.718051,18.028844,0.718614,2.018726,3.065371,0.945438,0.047086
0.020000,5.759612,18.030840,0.760223,2.080423,3.084817,0.972297,0.048847
0.020000,5.802409,18.032969,0.803073,2.142518,3.104753,0.996830,0.050554
0.020000,5.846452,18.035234,0.847173,2.205023,3.125256,1.025146,0.052201
0.020000,5.891747,18.037637,0.892532,2.267947,3.146227,1.048547,0.053779
0.020000,5.938304,18.040179,0.939158,2.331303,3.167767,1.077012,0.055279
0.020000,5.986130,18.042860,0.987060,2.395098,3.189787,1.100993,0.056693
0.020000,6.035237,18.045680,1.036247,2.459346,3.212386,1.129948,0.058011
0.020000,6.085631,18.048638,1.086728,2.524055,3.235460,1.153689,0.059225
0.020000,6.137323,18.051732,1.138513,2.589237,3.259088,1.181389,0.060326
0.020000,6.190323,18.054960,1.191611,2.654902,3.283259,1.208578,0.061302
0.020000,6.244640,18.058317,1.246032,2.721062,3.307975,1.235768,0.062146
0.020000,6.300286,18.061800,1.301787,2.787726,3.333227,1.262611,0.062846
0.020000,6.357271,18.065403,1.358885,2.854907,3.359044,1.290835,0.063393
0.020000,6.415605,18.069118,1.417337,2.922616,3.385434,1.319537,0.063776
0.020000,6.475300,18.072937,1.477155,2.990864,3.412397,1.348133,0.063985
0.020000,6.536368,18.076852,1.538348,3.059663,3.439948,1.377567,0.064008
0.020000,6.598820,18.080850,1.600928,3.129025,3.468100,1.407593,0.063835
0.020000,6.662670,18.084920,1.664908,3.198962,3.496861,1.438042,0.063453
0.020000,6.727929,18.089048,1.730297,3.269487,3.526249,1.469406,0.062852
0.020000,6.794611,18.093218,1.797110,3.340612,3.556264,1.500729,0.062019
0.020000,6.862729,18.097413,1.865357,3.412351,3.586929,1.533249,0.060943
0.020000,6.932297,18.101613,1.935051,3.484716,3.618236,1.565373,0.059611
0.020000,7.003328,18.105796,2.006205,3.557720,3.650233,1.599850,0.058010
0.020000,7.075838,18.109940,2.078833,3.631377,3.682855,1.631078,0.056127
0.020000,7.149839,18.114019,2.152947,3.705701,3.716166,1.665542,0.053949
0.020000,7.225348,18.118004,2.228561,3.780703,3.750133,1.698346,0.051463
0.020000,7.302379,18.121865,2.305689,3.856399,3.784769,1.731807,0.048656
0.020000,7.380948,18.125569,2.384345,3.932799,3.820016,1.762355,0.045512
0.020000,7.461070,18.129080,2.464543,4.009917,3.855878,1.793110,0.042018
0.020000,7.542759,18.132358,2.546299,4.087764,3.892346,1.823380,0.038159
0.020000,7.626032,18.135363,2.629626,4.166349,3.929285,1.846953,0.033921
0.020000,7.710903,18.138048,2.714539,4.245684,3.966753,1.873436,0.029289
0.020000,7.797388,18.140366,2.801055,4.325776,4.004568,1.890724,0.024248
0.020000,7.885500,18.142265,2.889187,4.406629,4.042672,1.905193,0.018782
0.020000,7.975253,18.143688,2.978952,4.488248,4.080941,1.913491,0.012878
0.020000,8.066662,18.144577,3.070365,4.570633,4.119240,1.914927,0.006518
0.020000,8.159737,18.144869,3.163441,4.653780,4.157375,1.906737,6.282875
0.020000,8.254490,18.144496,3.258194,4.737683,4.195146,1.888583,6.275562
0.020000,8.350930,18.143387,3.354641,4.822329,4.232298,1.857584,6.267749
0.020000,8.449065,18.141467,3.452795,4.907701,4.268578,1.814013,6.259423
0.020000,8.548901,18.138655,3.552670,4.993773,4.303642,1.753161,6.250569
0.020000,8.650441,18.134867,3.654281,5.080515,4.337101,1.672956,6.241174
0.020000,8.753685,18.130016,3.757638,5.167888,4.368614,1.575671,6.231226
0.020000,8.858630,18.124009,3.862755,5.255839,4.397583,1.448435,6.220714
0.020000,8.965269,18.116748,3.969641,5.344313,4.423697,1.305724,6.209626
0.020000,9.073592,18.108133,4.078306,5.433236,4.446108,1.120554,6.197954
0.020000,9.183582,18.098059,4.188757,5.522530,4.464730,0.931075,6.185691
0.020000,9.295219,18.086419,4.300999,5.612094,4.478183,0.672655,6.172831
0.020000,9.408475,18.073102,4.415035,5.701824,4.486498,0.415763,6.159371
0.020000,9.523317,18.057993,4.530867,5.791592,4.488396,0.094906,6.145310
0.020000,9.639705,18.040976,4.648492,5.881271,4.483986,-0.220493,6.130650
0.020000,9.757591,18.021936,4.767906,5.970703,4.471568,-0.620921,6.115396
0.020000,9.876921,18.000754,4.889101,6.059731,4.451405,-1.008153,6.099556
0.020000,9.998373,17.976875,5.012878,6.188862,6.456534,100.256443,6.075627
0.020000,10.135105,17.945760,5.153106,7.011375,41.125691,1733.457838,6.043292
0.020000,10.271820,17.909969,5.294428,7.066129,2.737665,-1919.401266,6.011049
0.020000,10.408189,17.869547,5.436662,7.111678,2.277489,-23.008829,5.979081
0.020000,10.543893,17.824588,5.579620,7.147907,1.811419,-23.303468,5.947573
0.020000,10.678640,17.775232,5.723122,7.175092,1.359254,-22.608270,5.916703
0.020000,10.812165,17.721654,5.866995,7.193638,0.927295,-21.597960,5.886644
0.020000,10.944013,17.664168,6.010830,7.191785,-0.092651,-50.997263,5.857602
0.020000,11.073480,17.603285,6.153898,7.153392,-1.919643,-91.349613,5.829828
0.020000,11.199739,17.539691,6.295268,7.068510,-4.244100,-116.222882,5.803573
0.020000,11.322164,17.474077,6.434167,6.944948,-6.178081,-96.699012,5.779013
0.020000,11.440515,17.406992,6.570210,6.802114,-7.141729,-48.182428,5.756219
0.020000,11.554814,17.338852,6.703278,6.653441,-7.433641,-14.595578,5.735194
0.020000,11.665226,17.269975,6.833413,6.506705,-7.336771,4.843512,5.715897
0.020000,11.771929,17.200645,6.960661,6.362402,-7.215187,6.079180,5.698282
0.020000,11.875104,17.131114,7.085078,6.220860,-7.077072,6.905734,5.682292
0.020000,11.974936,17.061606,7.206724,6.082324,-6.926796,7.513830,5.667870
0.020000,12.071607,16.992318,7.325662,5.946874,-6.772533,7.713127,5.654953
0.020000,12.165294,16.923424,7.441953,5.814556,-6.615898,7.831774,5.643479
0.020000,12.256168,16.855078,7.555659,5.685325,-6.461530,7.718361,5.633388
0.020000,12.344390,16.787414,7.666842,5.559114,-6.310556,7.548735,5.624619
0.020000,12.430114,16.720552,7.775558,5.435802,-6.165602,7.247677,5.617115
0.020000,12.513484,16.654596,7.881863,5.315260,-6.027089,6.925663,5.610821
0.020000,12.594635,16.589639,7.985810,5.197341,-5.895947,6.557100,5.605686
0.020000,12.673692,16.525761,8.087448,5.081899,-5.772114,6.191656,5.601659
0.020000,12.750770,16.463036,8.186823,4.968784,-5.655752,5.818110,5.598696
0.020000,12.825977,16.401527,8.283980,4.857846,-5.546894,5.442878,5.596752
0.020000,12.899411,16.341290,8.378959,4.748954,-5.444619,5.113743,5.595788
0.020000,12.971161,16.282374,8.471799,4.641973,-5.349014,4.780274,5.595766
0.020000,13.041311,16.224824,8.562535,4.536787,-5.259326,4.484390,5.596649
0.020000,13.109934,16.168677,8.651200,4.433286,-5.175030,4.214781,5.598405
0.020000,13.177099,16.113967,8.737828,4.331380,-5.095337,3.984649,5.601002
0.020000,13.242868,16.060723,8.822447,4.230978,-5.020088,3.762490,5.604410
0.020000,13.307295,16.008968,8.905088,4.132015,-4.948161,3.596341,5.608602
0.020000,13.370431,15.958724,8.985776,4.034432,-4.879106,3.452737,5.613548
0.020000,13.432320,15.910006,9.064540,3.938184,-4.812422,3.334203,5.619223
0.020000,13.493003,15.862828,9.141405,3.843233,-4.747568,3.242701,5.625602
0.020000,13.552515,15.817198,9.216396,3.749563,-4.683495,3.203652,5.632659
0.020000,13.610887,15.773123,9.289539,3.657153,-4.620476,3.150921,5.640368
0.020000,13.668147,15.730604,9.360859,3.566016,-4.556844,3.181640,5.648706
0.020000,13.724320,15.689641,9.430382,3.476148,-4.493439,3.170216,5.657646
0.020000,13.779428,15.650228,9.498134,3.387572,-4.428774,3.233259,5.667163
0.020000,13.833490,15.612358,9.564140,3.300312,-4.362984,3.289505,5.677231
0.020000,13.886523,15.576020,9.628428,3.214393,-4.295958,3.351326,5.687823
0.020000,13.938542,15.541199,9.691025,3.129871,-4.226107,3.492524,5.698912
0.020000,13.989560,15.507879,9.751961,3.046768,-4.155171,3.546785,5.710470
0.020000,14.039590,15.476038,9.811263,2.965138,-4.081499,3.683639,5.722468
0.020000,14.088642,15.445654,9.868964,2.885026,-4.005577,3.796067,5.734875
0.020000,14.136728,15.416701,9.925094,2.806483,-3.927183,3.919719,5.747660
0.020000,14.183857,15.389150,9.979685,2.729548,-3.846730,4.022637,5.760792
0.020000,14.230038,15.362970,10.032770,2.654268,-3.764012,4.135907,5.774238
0.020000,14.275280,15.338128,10.084384,2.580679,-3.679457,4.227730,5.787963
0.020000,14.319592,15.314590,10.134560,2.508815,-3.593187,4.313511,5.801936
0.020000,14.362984,15.292318,10.183334,2.438702,-3.505641,4.377308,5.816119
0.020000,14.405465,15.271274,10.230741,2.370357,-3.417226,4.420731,5.830479
0.020000,14.447044,15.251420,10.276817,2.303792,-3.328288,4.446926,5.844980
0.020000,14.487729,15.232714,10.321597,2.239000,-3.239581,4.435321,5.859588
0.020000,14.527532,15.215115,10.365116,2.175978,-3.151128,4.422675,5.874266
0.020000,14.566461,15.198583,10.407410,2.114702,-3.063797,4.366550,5.888981
0.020000,14.604526,15.183075,10.448513,2.055129,-2.978621,4.258780,5.903699
0.020000,14.641736,15.168549,10.488458,1.997245,-2.894185,4.221836,5.918386
0.020000,14.678101,15.154965,10.527277,1.940966,-2.813982,4.010106,5.933010
0.020000,14.713629,15.142280,10.565002,1.886257,-2.735426,3.927826,5.947541
0.020000,14.748330,15.130453,10.601663,1.833042,-2.660741,3.734243,5.961949
0.020000,14.782212,15.119446,10.637288,1.781231,-2.590553,3.509426,5.976206
0.020000,14.815282,15.109217,10.671904,1.730785,-2.522309,3.412167,5.990285
0.020000,14.847547,15.099730,10.705535,1.681562,-2.461141,3.058394,6.004162
0.020000,14.879014,15.090946,10.738205,1.633520,-2.402097,2.952196,6.017813
0.020000,14.909690,15.082829,10.769936,1.586554,-2.348342,2.687775,6.031217
0.020000,14.939578,15.075344,10.800747,1.540544,-2.300464,2.393903,6.044356
0.020000,14.968683,15.068455,10.830657,1.495469,-2.253771,2.334620,6.057210
0.020000,14.997008,15.062130,10.859679,1.451146,-2.216124,1.882388,6.069765
0.020000,15.024557,15.056335,10.887831,1.407566,-2.179016,1.855369,6.082006
0.020000,15.051330,15.051041,10.915123,1.364616,-2.147489,1.576392,6.093921
0.020000,15.077330,15.046216,10.941567,1.322175,-2.122061,1.271358,6.105499
0.020000,15.102557,15.041832,10.967172,1.280260,-2.095776,1.314275,6.116731
0.020000,15.127010,15.037860,10.991946,1.238685,-2.078752,0.851214,6.127608
0.020000,15.150690,15.034274,11.015895,1.197476,-2.060449,0.915146,6.138125
0.020000,15.173594,15.031047,11.039026,1.156531,-2.047245,0.660193,6.148276
0.020000,15.195722,15.028153,11.061341,1.115781,-2.037474,0.488554,6.158057
0.020000,15.217070,15.025570,11.082845,1.075188,-2.029656,0.390860,6.167465
0.020000,15.237636,15.023274,11.103539,1.034717,-2.023541,0.305752,6.176497
0.020000,15.257418,15.021242,11.123426,0.994318,-2.019964,0.178865,6.185152
0.020000,15.276413,15.019453,11.142505,0.953940,-2.018880,0.054196,6.193430
0.020000,15.294617,15.017887,11.160776,0.913573,-2.018356,0.026200,6.201331
0.020000,15.312028,15.016525,11.178240,0.873187,-2.019293,-0.046826,6.208854
0.020000,15.328641,15.015347,11.194894,0.832715,-2.023629,-0.216810,6.216002
0.020000,15.344452,15.014337,11.210738,0.792202,-2.025655,-0.101312,6.222775
0.020000,15.359460,15.013478,11.225770,0.751606,-2.029810,-0.207751,6.229175
0.020000,15.373660,15.012753,11.239988,0.710910,-2.034785,-0.248738,6.235204
0.020000,15.387048,15.012148,11.253391,0.670126,-2.039167,-0.219122,6.240865
0.020000,15.399622,15.011649,11.265974,0.629151,-2.048796,-0.481433,6.246158
0.020000,15.411378,15.011243,11.277737,0.588158,-2.049605,-0.040424,6.251088
0.020000,15.422313,15.010916,11.288677,0.547008,-2.057517,-0.395602,6.255655
0.020000,15.432424,15.010659,11.298792,0.505719,-2.064438,-0.346058,6.259863
0.020000,15.441708,15.010461,11.308078,0.464317,-2.070132,-0.284732,6.263713
0.020000,15.450164,15.010311,11.316535,0.422827,-2.074464,-0.216577,6.267208
0.020000,15.457788,15.010201,11.324160,0.381260,-2.078378,-0.195684,6.270351
0.020000,15.464578,15.010123,11.330950,0.339521,-2.086953,-0.428774,6.273142
0.020000,15.470532,15.010071,11.336905,0.297739,-2.089102,-0.107439,6.275583
0.020000,15.475650,15.010037,11.342022,0.255876,-2.093129,-0.201357,6.277677
0.020000,15.479929,15.010017,11.346301,0.213944,-2.096609,-0.174021,6.279424
0.020000,15.483368,15.010007,11.349740,0.171942,-2.100088,-0.173933,6.280827
0.020000,15.485965,15.010002,11.352337,0.129863,-2.103958,-0.193502,6.281885
0.020000,15.487721,15.010000,11.354093,0.087799,-2.103221,0.036865,6.282599
0.020000,15.488693,15.010000,11.355066,0.048615,-1.959169,7.202567,6.282995
0.020000,15.489080,15.010000,11.355453,0.019340,-1.463750,24.770996,6.283152
0.020000,15.489162,15.010000,11.355535,0.004105,-0.761749,35.100042,0.000000
0.020000,15.489162,15.010000,11.355535,0.000000,-0.205266,27.824113,0.000000
